City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,62.19,scattered clouds,-33.5906,26.891,The Halyards Hotel & Spa
1,Busselton,AU,70.05,overcast clouds,-33.65,115.3333,Observatory Guest House
2,Naze,JP,67.12,clear sky,28.3667,129.4833,Shishime Hotel
3,Yangambi,CD,69.48,light rain,0.8102,24.4336,
4,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
10,Pacific Grove,US,65.88,clear sky,36.6177,-121.9166,Lovers Point Inn
16,Coachella,US,73.35,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
19,Plettenberg Bay,ZA,63.84,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
21,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
22,Ribeira Grande,PT,66.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
23,Kaitangata,NZ,65.01,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
24,Mataura,NZ,74.95,overcast clouds,-46.1927,168.8643,Ellie's Villa
25,Ushuaia,AR,51.46,clear sky,-54.8,-68.3,Albatross Hotel
26,Rikitea,PF,74.8,broken clouds,-23.1203,-134.9692,People ThankYou
27,San Quintin,MX,62.44,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
28,Ajdabiya,LY,61.54,clear sky,30.7554,20.2263,Almadina Hotel
29,Vao,NC,74.79,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
30,Kisangani,CD,69.4,overcast clouds,0.5167,25.2,Grand Ramela Hotel
31,Hobart,AU,51.66,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
34,Chalus,IR,53.06,scattered clouds,36.655,51.4204,Rama Spa
35,Faanui,PF,79.83,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Mahebourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
40,Harper,LR,77.11,few clouds,4.375,-7.7169,Screensaver
42,Owerri,NG,74.39,overcast clouds,5.4833,7.0304,Dream Land Hotel
43,Lazaro Cardenas,MX,78.13,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
44,Castro,BR,56.84,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,Mar Del Plata,AR,65.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
49,Constitucion,CL,57.31,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
50,Bredasdorp,ZA,60.94,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
51,Pimenta Bueno,BR,71.19,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
58,Piacabucu,BR,76.51,few clouds,-10.4056,-36.4344,Piaçabuçu News
62,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
64,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
66,Eureka,US,56.01,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
69,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
70,Aracati,BR,78.48,clear sky,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
75,Saldanha,ZA,62.98,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
76,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
80,Touros,BR,77.86,clear sky,-5.1989,-35.4608,INN NEW HORIZON
81,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
84,Aswan,EG,62.8,few clouds,24.0934,32.907,Nuba Nile
85,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
87,Dwarka,IN,78.13,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
88,Karratha,AU,78.67,few clouds,-20.7377,116.8463,ibis Styles Karratha
89,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,39 On Nile Guest House
91,Arraial Do Cabo,BR,71.73,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
93,Atuona,PF,77.85,clear sky,-9.8,-139.0333,Villa Enata
94,Hermanus,ZA,59.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
95,Cape Town,ZA,63.01,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
96,Meulaboh,ID,76.08,overcast clouds,4.1363,96.1285,Kost Pria
99,Hohoe,GH,72.3,few clouds,7.1518,0.4736,Agumatsa Falls Lodge
101,Bengkulu,ID,79.79,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
102,Kindu,CD,65.93,overcast clouds,-2.95,25.95,Résidence Okanda
103,Garissa,KE,74.12,moderate rain,-0.4536,39.6401,Sharif Plaza Hotel
105,Rankweil,AT,53.11,light rain,47.2764,9.6303,Hotel - Gasthof Mohren
106,Mogadishu,SO,78.31,light rain,2.0371,45.3438,Hotel Juba
107,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
108,Pandaria,IN,59.18,clear sky,22.2333,81.4167,Sonu Rajak
109,Axim,GH,77.7,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
110,Chimbarongo,CL,76.08,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
113,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
114,Bulungu,CD,69.17,moderate rain,-4.55,18.6,Maison MC Michel
115,Acarau,BR,78.26,clear sky,-2.8856,-40.12,castelo pizzaria
116,Palghar,IN,73.44,clear sky,19.6833,72.75,"Samarth Krupa Farm, Palghar"
117,Biak,ID,79.38,overcast clouds,-0.9131,122.8766,Penginapan Kim
118,Gasa,PS,58.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
119,Cap Malheureux,MU,68.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
122,Jhelum,PK,59.18,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
124,Labranzagrande,CO,65.35,overcast clouds,5.5622,-72.575,Hotel Casa Grande
125,Bluff,NZ,60.15,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
128,Ribeira Brava,PT,68.72,broken clouds,32.65,-17.0667,Hotel do Campo
130,Auray,FR,56.75,overcast clouds,47.6703,-2.9918,Best Western Auray hotel du Loch
132,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
133,Sao Filipe,CV,75.83,broken clouds,14.8961,-24.4956,Hotel Xaguate
134,Hasaki,JP,52.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
137,Susaki,JP,55.47,clear sky,33.3667,133.2833,Awa
139,Carnarvon,AU,73.72,clear sky,-24.8667,113.6333,Hospitality Carnarvon
152,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
157,Shekhupura,PK,57.25,clear sky,31.7131,73.9783,Best Holidays Inn
160,Ancud,CL,53.49,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
161,Archidona,ES,59.85,overcast clouds,37.0965,-4.3887,Hotel Escua
166,Aljezur,PT,64.22,overcast clouds,37.3191,-8.8033,Amazigh Hostel
168,Lebu,CL,55.56,clear sky,-37.6167,-73.65,Hostal Las Lilas
169,Lima,PE,62.85,few clouds,-12.0432,-77.0282,Hotel Kamana
170,Sao Joao Da Barra,BR,71.69,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
171,Tuy Hoa,VN,78.31,broken clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
172,Metu,ET,54.48,clear sky,8.3,35.5833,Selam pension
173,New Norfolk,AU,51.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
174,Jinji,CN,69.55,overcast clouds,23.2281,110.8261,
176,Richards Bay,ZA,65.03,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
179,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
183,Airai,TL,74.28,scattered clouds,-8.9266,125.4092,
184,Yulara,AU,69.12,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
188,Coulommiers,FR,50.38,overcast clouds,48.8145,3.085,Hôtel Première Classe Coulommiers
190,Saint-Leu,RE,73.96,broken clouds,-21.15,55.2833,La Caz Oceane
191,Quatre Cocos,MU,68.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
192,Minab,IR,75.92,clear sky,27.1467,57.0801,Bam campground
194,Barra Patuca,HN,78.39,light rain,15.8,-84.2833,
195,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
199,Coihaique,CL,53.55,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
200,Lompoc,US,62.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
202,Meghraj,IN,67.39,clear sky,23.5,73.5,Arvalli Society meghraj
203,East London,ZA,65.12,scattered clouds,-33.0153,27.9116,Tu Casa
205,Dickinson,US,50.95,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
209,Broken Hill,AU,58.26,clear sky,-31.95,141.4333,Royal Exchange Hotel
210,Ahipara,NZ,68.32,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
212,Rocha,UY,55.51,clear sky,-34.4833,-54.3333,Hotel Arrarte
214,Sechura,PE,65.21,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
216,Yamethin,MM,70.39,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
219,Acapulco,MX,79.48,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
224,Chuy,UY,58.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
228,Shimoda,JP,61.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
229,Codrington,AU,53.78,overcast clouds,-38.2667,141.9667,
230,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
232,Mayumba,GA,76.73,overcast clouds,-3.432,10.6554,LIKWALE LODGE
233,Talara,PE,66.96,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
234,Biharamulo,TZ,62.29,overcast clouds,-2.6319,31.3089,Annex Lodge
235,Tuatapere,NZ,65.14,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
237,Bambous Virieux,MU,68.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
238,Dondo,MZ,71.11,clear sky,-19.6094,34.7431,Pensao Casual
239,Gisborne,NZ,67.69,few clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
241,Morrinhos,BR,73.02,overcast clouds,-17.7311,-49.0994,"Hotel Aguia - Hotel, Per Noite, Hotel Morrinhos"
242,Tambura,SS,73.54,overcast clouds,5.6,27.4667,Rikito Lodge
245,Port Blair,IN,77.32,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
246,Fortuna,US,54.52,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
253,Kiomboi,TZ,66.24,overcast clouds,-4.2667,34.3667,Noah DS Site
254,Morondava,MG,77.58,overcast clouds,-20.2833,44.2833,La Case Bambou
258,Vinh,VN,76.42,few clouds,18.6667,105.6667,Vuong Hoan 2
259,Gualaquiza,EC,64.44,light rain,-3.4,-78.55,Hotel Merceditas
260,Hlotse,LS,56.97,light rain,-28.8718,28.045,Naleli Guest House
261,Puquio,PE,54.73,overcast clouds,-14.7,-74.1333,Hostal Jousef
262,Netanya,IL,63.21,scattered clouds,32.3329,34.8599,King Koresh Hotel
263,Yokadouma,CM,68.0,overcast clouds,3.5167,15.05,Hotel Elephant
265,Manicore,BR,73.17,moderate rain,-5.8092,-61.3003,Hotel Durval
268,Saint-Francois,FR,51.24,few clouds,46.4154,3.9054,Maison Vin d'Hus
269,Port Arthur,CN,50.22,clear sky,38.8,121.2667,Friendship Hotel
272,Avera,US,53.11,overcast clouds,33.194,-82.5271,
273,Port Lincoln,AU,57.94,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
274,Pasni,PK,77.14,clear sky,25.2631,63.471,Kashmiri Hotal
275,Rio Gallegos,AR,57.25,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
276,Chandla,IN,63.93,clear sky,25.0833,80.2,Rest House
278,Mmabatho,ZA,66.97,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
281,Xai-Xai,MZ,64.72,clear sky,-25.0519,33.6442,Complexo da Familia
285,Pimentel,PE,63.57,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
286,Rumonge,BI,72.03,overcast clouds,-3.9736,29.4386,Kwetu Guest House
287,Bella Union,UY,70.2,overcast clouds,-30.2752,-57.6007,Saville Free Shop
288,Rosetta,EG,64.54,light rain,31.4044,30.4164,Green Valley
291,Victoria,HK,76.96,overcast clouds,22.2855,114.1577,Mini Central
292,Guerrero Negro,MX,65.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
294,Camacupa,AO,61.56,light rain,-12.0167,17.4833,
295,Salgado,BR,77.7,light rain,-11.0319,-37.475,Casa de Veraneio Maria Bonita
297,Chor,PK,69.69,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
299,Namibe,AO,64.99,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
301,Niquero,CU,79.83,few clouds,20.0431,-77.5828,Islazul Niquero
302,Behshahr,IR,52.43,clear sky,36.6923,53.5526,Abbas Abad Hotel & Restaurant
304,Tabuk,PH,79.3,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
305,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
307,Ganzhou,CN,60.98,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
308,Aden,YE,78.28,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
311,Mangai,CD,67.98,light rain,-4.05,19.5333,
312,Esperance,AU,66.78,clear sky,-33.8667,121.9,Hospitality Esperance
313,Faya,SA,55.51,clear sky,18.3851,42.4509,شيلة نسايم
315,Sabha,LY,60.82,overcast clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
316,Ocos,GT,78.98,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
319,Itarema,BR,78.13,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
320,Kruisfontein,ZA,58.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
321,Mirador,BR,75.7,clear sky,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
323,Villanueva De La Serena,ES,59.13,overcast clouds,38.9766,-5.7974,Hotel Veracruz
326,Bani,DO,76.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
327,Santa Isabel,BR,67.71,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
328,Sur,OM,77.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
329,Gamba,GA,77.09,overcast clouds,-2.65,10.0,
335,Raudeberg,NO,50.67,overcast clouds,61.9875,5.1352,Nordre Silda.
336,Sakakah,SA,63.97,heavy intensity rain,29.9697,40.2064,Fakhamat Al Orjoana Apartment
339,Suez,EG,62.2,clear sky,29.9737,32.5263,Green House
342,Atar,MR,79.18,clear sky,20.5169,-13.0499,Oumou Elghoura
344,Hastings,GB,54.91,broken clouds,50.8552,0.5729,Zanzibar Hotel
345,Mitsamiouli,KM,78.57,overcast clouds,-11.3847,43.2844,Foyer ADM
347,Mongu,ZM,69.24,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
349,Sawtell,AU,71.62,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
350,Iralaya,HN,79.83,overcast clouds,15.0,-83.2333,Iglesia morava renovada
