City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Port Alfred,ZA,-33.5906,26.891,62.19,86,32,4.0,scattered clouds
1,Busselton,AU,-33.65,115.3333,70.05,39,100,9.13,overcast clouds
2,Naze,JP,28.3667,129.4833,67.12,61,9,11.81,clear sky
3,Yangambi,CD,0.8102,24.4336,69.48,99,97,1.79,light rain
4,Cayenne,GF,4.9333,-52.3333,78.84,89,0,3.44,clear sky
5,Fairbanks,US,64.8378,-147.7164,15.6,81,40,4.61,scattered clouds
6,Romny,UA,50.751,33.4747,34.79,95,6,7.2,clear sky
7,Indramayu,ID,-6.3264,108.32,81.93,73,100,3.33,light rain
8,Kapaa,US,22.0752,-159.319,80.92,62,20,13.8,few clouds
9,Sabang,ID,5.8933,95.3214,80.64,79,100,21.41,moderate rain
10,Pacific Grove,US,36.6177,-121.9166,65.88,70,0,5.01,clear sky
11,Katherine,AU,-14.4667,132.2667,88.12,66,40,5.75,scattered clouds
12,Albany,US,42.6001,-73.9662,33.17,83,100,4.52,snow
13,Vardo,NO,70.3705,31.1107,39.18,87,75,20.71,broken clouds
14,Jamestown,US,42.097,-79.2353,33.39,78,100,6.91,light snow
15,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,18.41,broken clouds
16,Coachella,US,33.6803,-116.1739,73.35,17,0,7.0,clear sky
17,Hithadhoo,MV,-0.6,73.0833,81.57,76,99,13.09,overcast clouds
18,Dalvik,IS,65.9702,-18.5286,46.33,97,100,6.73,overcast clouds
19,Plettenberg Bay,ZA,-34.0527,23.3716,63.84,76,100,5.5,overcast clouds
20,Bud,US,39.447,-86.1758,38.34,93,100,10.02,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,50.11,53,40,20.71,scattered clouds
22,Ribeira Grande,PT,38.5167,-28.7,66.78,93,62,15.01,broken clouds
23,Kaitangata,NZ,-46.2817,169.8464,65.01,63,99,6.76,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,74.95,40,100,3.4,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,51.46,62,0,3.44,clear sky
26,Rikitea,PF,-23.1203,-134.9692,74.8,82,80,17.74,broken clouds
27,San Quintin,MX,30.4833,-115.95,62.44,59,0,8.1,clear sky
28,Ajdabiya,LY,30.7554,20.2263,61.54,79,0,1.48,clear sky
29,Vao,NC,-22.6667,167.4833,74.79,79,75,6.87,broken clouds
30,Kisangani,CD,0.5167,25.2,69.4,99,100,1.81,overcast clouds
31,Hobart,AU,-42.8794,147.3294,51.66,62,100,18.41,overcast clouds
32,Prescott,US,34.54,-112.4685,46.18,36,15,1.99,few clouds
33,Vaini,TO,-21.2,-175.2,82.56,78,20,6.91,few clouds
34,Chalus,IR,36.655,51.4204,53.06,87,40,4.61,scattered clouds
35,Faanui,PF,-16.4833,-151.75,79.83,73,100,4.43,overcast clouds
36,Chokurdakh,RU,70.6333,147.9167,-35.93,100,52,2.06,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,-2.15,84,20,6.98,few clouds
38,Mahebourg,MU,-20.4081,57.7,68.25,63,70,8.7,light rain
39,Riyadh,SA,24.6877,46.7219,66.34,32,0,8.55,clear sky
40,Harper,LR,4.375,-7.7169,77.11,86,14,3.56,few clouds
41,Berlevag,NO,70.8578,29.0864,41.0,87,100,27.63,overcast clouds
42,Owerri,NG,5.4833,7.0304,74.39,91,100,3.29,overcast clouds
43,Lazaro Cardenas,MX,17.9583,-102.2,78.13,83,99,3.15,overcast clouds
44,Castro,BR,-24.7911,-50.0119,56.84,66,0,3.69,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,65.08,67,0,1.01,clear sky
46,San Cristobal,VE,7.7669,-72.225,69.98,98,85,2.42,overcast clouds
47,Butaritari,KI,3.0707,172.7902,81.68,76,9,15.79,clear sky
48,Cherskiy,RU,68.75,161.3,-16.96,95,100,4.47,overcast clouds
49,Constitucion,CL,-35.3333,-72.4167,57.31,83,0,14.16,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,60.94,81,76,5.06,broken clouds
51,Pimenta Bueno,BR,-11.6725,-61.1936,71.19,93,100,3.09,overcast clouds
52,Provideniya,RU,64.3833,-173.3,33.91,60,100,31.32,overcast clouds
53,Flin Flon,CA,54.7682,-101.865,15.64,92,100,10.36,overcast clouds
54,Cotonou,BJ,6.3654,2.4183,82.38,83,40,9.22,scattered clouds
55,Rorvik,NO,64.8621,11.2373,41.11,56,0,12.66,clear sky
56,Saskylakh,RU,71.9167,114.0833,-19.08,97,93,6.62,overcast clouds
57,Aklavik,CA,68.2191,-135.0107,0.03,93,14,7.74,few clouds
58,Piacabucu,BR,-10.4056,-36.4344,76.51,86,18,9.22,few clouds
59,Beipiao,CN,41.7919,120.7792,37.33,57,0,4.36,clear sky
60,Saint George,US,37.1041,-113.5841,48.79,24,0,26.46,clear sky
61,Tilichiki,RU,60.4667,166.1,25.05,97,100,7.76,snow
62,Padang,ID,-0.9492,100.3543,75.25,84,100,3.69,overcast clouds
63,Marang,MY,5.2056,103.2059,83.97,86,90,2.98,overcast clouds
64,Bartica,GY,6.4,-58.6167,79.12,99,94,2.33,overcast clouds
65,Ugoofaaru,MV,5.6667,73.0,80.98,76,100,7.9,overcast clouds
66,Eureka,US,40.8021,-124.1637,56.01,87,0,1.01,clear sky
67,Dikson,RU,73.5069,80.5464,-9.38,100,29,3.8,scattered clouds
68,San Policarpo,PH,12.1791,125.5072,82.81,83,100,13.35,light rain
69,Olinda,BR,-8.0089,-34.8553,78.53,78,75,5.75,broken clouds
70,Aracati,BR,-4.5617,-37.7697,78.48,74,5,11.77,clear sky
71,Udachnyy,RU,66.4167,112.4,-23.64,99,100,4.68,overcast clouds
72,Port Hardy,CA,50.6996,-127.4199,42.98,87,40,0.0,scattered clouds
73,Bubaque,GW,11.2833,-15.8333,82.26,69,100,10.36,overcast clouds
74,Nome,US,64.5011,-165.4064,26.67,74,0,18.41,clear sky
75,Saldanha,ZA,-33.0117,17.9442,62.98,85,92,5.39,overcast clouds
76,Najran,SA,17.4924,44.1277,61.45,38,0,0.18,clear sky
77,Canmore,CA,51.0834,-115.3521,27.39,96,19,2.3,few clouds
78,Puerto Barrios,GT,15.7167,-88.6,80.74,89,40,0.0,scattered clouds
79,Georgetown,MY,5.4112,100.3354,80.89,90,20,2.3,few clouds
80,Touros,BR,-5.1989,-35.4608,77.86,74,5,12.84,clear sky
81,Puerto Ayora,EC,-0.7393,-90.3518,70.56,87,69,10.0,broken clouds
82,Geraldton,AU,-28.7667,114.6,75.61,43,0,10.36,clear sky
83,Thompson,CA,55.7435,-97.8558,8.76,92,20,4.61,few clouds
84,Aswan,EG,24.0934,32.907,62.8,46,23,11.01,few clouds
85,Avarua,CK,-21.2078,-159.775,77.05,61,55,17.27,broken clouds
86,Denpasar,ID,-8.65,115.2167,83.86,79,20,4.61,few clouds
87,Dwarka,IN,22.2394,68.9678,78.13,61,5,9.04,clear sky
88,Karratha,AU,-20.7377,116.8463,78.67,59,12,10.78,few clouds
89,Port Elizabeth,ZA,-33.918,25.5701,61.11,80,0,10.36,clear sky
90,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,40.68,81,100,3.13,overcast clouds
91,Arraial Do Cabo,BR,-22.9661,-42.0278,71.73,91,100,10.8,moderate rain
92,Hami,CN,42.8,93.45,35.29,40,100,3.76,overcast clouds
93,Atuona,PF,-9.8,-139.0333,77.85,68,0,13.94,clear sky
94,Hermanus,ZA,-34.4187,19.2345,59.81,79,100,6.13,overcast clouds
95,Cape Town,ZA,-33.9258,18.4232,63.01,73,75,8.05,broken clouds
96,Meulaboh,ID,4.1363,96.1285,76.08,90,100,6.64,overcast clouds
97,Paringao,PH,16.5717,120.3242,83.03,65,0,1.3,clear sky
98,Svetlaya,RU,46.5389,138.3297,31.01,52,7,4.14,clear sky
99,Hohoe,GH,7.1518,0.4736,72.3,61,16,3.15,few clouds
100,Rehoboth,NA,-23.3167,17.0833,69.46,18,2,5.61,clear sky
101,Bengkulu,ID,-3.8004,102.2655,79.79,74,37,10.92,scattered clouds
102,Kindu,CD,-2.95,25.95,65.93,99,100,0.18,overcast clouds
103,Garissa,KE,-0.4536,39.6401,74.12,90,100,7.99,moderate rain
104,Pochutla,MX,15.7432,-96.4661,80.42,84,36,3.11,scattered clouds
105,Rankweil,AT,47.2764,9.6303,53.11,87,100,4.0,light rain
106,Mogadishu,SO,2.0371,45.3438,78.31,82,5,11.23,light rain
107,Praya,CV,14.9215,-23.5087,73.94,78,20,6.91,few clouds
108,Pandaria,IN,22.2333,81.4167,59.18,58,0,3.91,clear sky
109,Axim,GH,4.8699,-2.2405,77.7,86,55,6.55,light rain
110,Chimbarongo,CL,-34.7,-71.05,76.08,51,0,1.19,clear sky
111,Roma,US,43.2128,-75.4557,31.95,95,100,6.91,mist
112,Talaya,RU,61.3833,152.75,-11.27,95,96,3.06,overcast clouds
113,Ponta Do Sol,PT,32.6667,-17.1,68.72,58,78,4.81,broken clouds
114,Bulungu,CD,-4.55,18.6,69.17,99,100,1.59,moderate rain
115,Acarau,BR,-2.8856,-40.12,78.26,72,0,15.95,clear sky
116,Palghar,IN,19.6833,72.75,73.44,56,2,5.53,clear sky
117,Biak,ID,-0.9131,122.8766,79.38,77,100,0.98,overcast clouds
118,Gasa,PS,31.5,34.4667,58.87,60,2,8.61,clear sky
119,Cap Malheureux,MU,-19.9842,57.6142,68.47,62,29,4.0,scattered clouds
120,Mount Isa,AU,-20.7333,139.5,83.97,20,17,10.36,few clouds
121,Kavieng,PG,-2.5744,150.7967,84.92,62,100,8.16,overcast clouds
122,Jhelum,PK,32.9331,73.7264,59.18,56,0,5.12,clear sky
123,Skibbereen,IE,51.55,-9.2667,45.88,86,100,3.53,overcast clouds
124,Labranzagrande,CO,5.5622,-72.575,65.35,95,100,3.89,overcast clouds
125,Bluff,NZ,-46.6,168.3333,60.15,69,100,12.62,overcast clouds
126,Hovd,MN,48.0056,91.6419,29.84,51,21,8.63,few clouds
127,Tunceli,TR,39.1083,39.5471,47.16,59,99,2.73,overcast clouds
128,Ribeira Brava,PT,32.65,-17.0667,68.72,60,71,4.92,broken clouds
129,Moose Factory,CA,51.2585,-80.6094,8.58,92,0,2.3,clear sky
130,Auray,FR,47.6703,-2.9918,56.75,79,97,21.09,overcast clouds
131,Yumen,CN,40.2833,97.2,31.91,31,6,7.72,clear sky
132,Salalah,OM,17.0151,54.0924,73.49,60,0,3.44,clear sky
133,Sao Filipe,CV,14.8961,-24.4956,75.83,72,56,3.67,broken clouds
134,Hasaki,JP,35.7333,140.8333,52.29,54,1,16.17,clear sky
135,Kununurra,AU,-15.7667,128.7333,89.58,55,40,3.44,scattered clouds
136,Mehamn,NO,71.0357,27.8492,40.95,81,100,13.8,light intensity drizzle
137,Susaki,JP,33.3667,133.2833,55.47,49,3,1.25,clear sky
138,Jeremie,HT,18.65,-74.1167,80.35,81,2,2.35,clear sky
139,Carnarvon,AU,-24.8667,113.6333,73.72,69,0,14.67,clear sky
140,Upernavik,GL,72.7868,-56.1549,18.57,80,100,9.8,overcast clouds
141,Norman Wells,CA,65.282,-126.8329,6.84,92,75,3.44,light snow
142,Kahului,US,20.8947,-156.47,82.42,63,20,19.57,few clouds
143,Tiarei,PF,-17.5333,-149.3333,80.62,77,96,4.65,light rain
144,Denison,US,33.7557,-96.5367,40.15,85,100,5.26,overcast clouds
145,Tampere,FI,61.4991,23.7871,32.0,98,100,4.61,overcast clouds
146,Gigmoto,PH,13.7796,124.39,81.91,85,100,13.91,overcast clouds
147,Namatanai,PG,-3.6667,152.4333,85.08,60,100,4.45,overcast clouds
148,Carmen,MX,18.6333,-91.8333,82.44,74,20,9.22,few clouds
149,Deputatskiy,RU,69.3,139.9,-31.54,99,16,3.87,few clouds
150,Arys,KZ,42.4252,68.795,43.34,51,100,14.25,overcast clouds
151,Rjukan,NO,59.8789,8.5941,34.7,94,100,10.58,overcast clouds
152,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,26,0,14.97,clear sky
153,Warwick,US,41.7001,-71.4162,43.09,68,82,3.0,broken clouds
154,Clyde River,CA,70.4692,-68.5914,-0.17,65,20,10.36,few clouds
155,Lasa,IT,46.6166,10.7002,43.68,99,100,3.36,overcast clouds
156,Uruzgan,AF,32.8333,66.0,42.33,44,0,5.12,clear sky
157,Shekhupura,PK,31.7131,73.9783,57.25,58,0,4.74,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,22.21,62,100,7.38,overcast clouds
159,Kodiak,US,57.79,-152.4072,42.31,93,100,13.8,light rain
160,Ancud,CL,-41.8697,-73.8203,53.49,97,100,9.84,light rain
161,Archidona,ES,37.0965,-4.3887,59.85,83,100,4.68,overcast clouds
162,Anadyr,RU,64.75,177.4833,36.1,93,75,40.26,broken clouds
163,Isangel,VU,-19.55,169.2667,84.31,79,20,3.44,few clouds
164,Paamiut,GL,61.994,-49.6678,17.02,88,44,10.67,scattered clouds
165,Tiksi,RU,71.6872,128.8694,-19.66,98,96,7.74,overcast clouds
166,Aljezur,PT,37.3191,-8.8033,64.22,87,100,10.69,overcast clouds
167,Leshukonskoye,RU,64.8989,45.7622,20.25,95,99,7.43,overcast clouds
168,Lebu,CL,-37.6167,-73.65,55.56,92,1,5.7,clear sky
169,Lima,PE,-12.0432,-77.0282,62.85,82,20,16.11,few clouds
170,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,97,100,13.15,moderate rain
171,Tuy Hoa,VN,13.0833,109.3,78.31,87,64,5.66,broken clouds
172,Metu,ET,8.3,35.5833,54.48,97,1,3.11,clear sky
173,New Norfolk,AU,-42.7826,147.0587,51.3,63,93,3.0,overcast clouds
174,Jinji,CN,23.2281,110.8261,69.55,77,99,3.4,overcast clouds
175,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,20,9.22,few clouds
176,Richards Bay,ZA,-28.783,32.0377,65.03,86,13,7.34,few clouds
177,Pevek,RU,69.7008,170.3133,1.47,87,100,4.09,overcast clouds
178,Taksimo,RU,56.3444,114.8794,5.13,93,94,0.56,overcast clouds
179,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,50,10.89,scattered clouds
180,Nanpiao,CN,41.0982,120.7479,41.63,49,0,3.89,clear sky
181,Calderitas,MX,18.55,-88.25,82.51,78,20,5.75,few clouds
182,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,75,8.05,broken clouds
183,Airai,TL,-8.9266,125.4092,74.28,54,27,1.1,scattered clouds
184,Yulara,AU,-25.2406,130.9889,69.12,57,100,14.52,overcast clouds
185,Lavrentiya,RU,65.5833,-171.0,29.16,90,100,25.61,light snow
186,Kirakira,SB,-10.4544,161.9205,85.64,66,17,5.75,few clouds
187,Samarai,PG,-10.6167,150.6667,86.23,70,57,14.05,broken clouds
188,Coulommiers,FR,48.8145,3.085,50.38,90,100,10.36,overcast clouds
189,Hilo,US,19.7297,-155.09,80.33,71,0,10.36,clear sky
190,Saint-Leu,RE,-21.15,55.2833,73.96,86,54,2.68,broken clouds
191,Quatre Cocos,MU,-20.2078,57.7625,68.09,56,33,6.49,scattered clouds
192,Minab,IR,27.1467,57.0801,75.92,75,0,4.52,clear sky
193,Aksu,CN,41.1231,80.2644,35.15,46,100,4.32,overcast clouds
194,Barra Patuca,HN,15.8,-84.2833,78.39,86,97,6.58,light rain
195,Hambantota,LK,6.1241,81.1185,75.54,100,20,2.3,few clouds
196,Broome,US,42.2506,-75.833,33.46,85,100,10.36,snow
197,Astghadzor,AM,40.1225,45.357,32.85,66,1,3.67,clear sky
198,Bilibino,RU,68.0546,166.4372,-0.44,91,100,9.66,overcast clouds
199,Coihaique,CL,-45.5752,-72.0662,53.55,62,75,5.75,broken clouds
200,Lompoc,US,34.6391,-120.4579,62.02,64,0,10.36,clear sky
201,Mariinsk,RU,56.2139,87.7472,33.69,95,100,15.68,light snow
202,Meghraj,IN,23.5,73.5,67.39,44,0,7.27,clear sky
203,East London,ZA,-33.0153,27.9116,65.12,78,33,15.32,scattered clouds
204,Falmouth,GB,50.1544,-5.0711,47.3,82,100,21.72,overcast clouds
205,Dickinson,US,29.4608,-95.0513,50.95,75,20,16.11,few clouds
206,Barrow,US,71.2906,-156.7887,19.42,86,100,17.27,overcast clouds
207,Inuvik,CA,68.3499,-133.7218,7.81,89,20,2.3,few clouds
208,Bethel,US,41.3712,-73.414,39.94,77,100,5.01,moderate rain
209,Broken Hill,AU,-31.95,141.4333,58.26,40,5,15.3,clear sky
210,Ahipara,NZ,-35.1667,173.1667,68.32,78,99,3.44,overcast clouds
211,Leh,IN,34.1667,77.5833,13.86,81,89,1.5,overcast clouds
212,Rocha,UY,-34.4833,-54.3333,55.51,71,0,5.08,clear sky
213,Chapleau,CA,47.8405,-83.4034,19.49,93,100,9.22,overcast clouds
214,Sechura,PE,-5.5569,-80.8222,65.21,80,74,14.85,broken clouds
215,Verkhnevilyuysk,RU,63.4453,120.3167,-18.35,96,100,4.56,overcast clouds
216,Yamethin,MM,20.4333,96.15,70.39,80,6,4.18,clear sky
217,Suntar,RU,62.1444,117.6319,-13.16,89,100,6.06,overcast clouds
218,Ilulissat,GL,69.2167,-51.1,9.93,97,98,5.28,overcast clouds
219,Acapulco,MX,16.8634,-99.8901,79.48,85,70,6.24,broken clouds
220,Alenquer,BR,-1.9417,-54.7383,81.28,66,98,5.59,overcast clouds
221,Yarega,RU,63.4354,53.5765,-13.79,100,24,3.11,few clouds
222,Arman,RU,59.7,150.1667,6.75,71,9,7.58,clear sky
223,Rundu,NA,-17.9333,19.7667,73.26,56,25,4.68,scattered clouds
224,Chuy,UY,-33.6971,-53.4616,58.46,69,0,6.4,clear sky
225,Okha,RU,53.5739,142.9478,22.73,89,80,7.38,broken clouds
226,Yellowknife,CA,62.456,-114.3525,23.52,80,100,25.32,light snow
227,Yar-Sale,RU,66.8333,70.8333,-7.8,88,64,6.8,broken clouds
228,Shimoda,JP,34.6667,138.95,61.16,57,0,5.73,clear sky
229,Codrington,AU,-38.2667,141.9667,53.78,66,99,13.87,overcast clouds
230,Mao,ES,39.8885,4.2658,68.56,83,0,12.66,clear sky
231,Sistranda,NO,63.7256,8.834,40.96,57,0,20.85,clear sky
232,Mayumba,GA,-3.432,10.6554,76.73,81,100,4.83,overcast clouds
233,Talara,PE,-4.5772,-81.2719,66.96,77,75,14.97,broken clouds
234,Biharamulo,TZ,-2.6319,31.3089,62.29,93,100,1.92,overcast clouds
235,Tuatapere,NZ,-46.1333,167.6833,65.14,61,100,4.97,overcast clouds
